epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,891.396,1.52827,1.7737,1.32997,0.55048,0.46658,0.5269,0.33254,1.15031,1.34865,1.22127,0.000467512,0.000467512,0.000467512
2,1812.12,1.26684,0.9956,1.11631,0.57582,0.56605,0.57655,0.37163,1.12983,1.08001,1.20772,0.000917148,0.000917148,0.000917148
3,2748.1,1.22118,0.87154,1.09207,0.63547,0.5783,0.60373,0.39207,1.09572,1.00838,1.16179,0.00133984,0.00133984,0.00133984
4,3696.23,1.18566,0.80357,1.08111,0.68999,0.67365,0.70166,0.45296,1.1385,0.95923,1.21484,0.00130774,0.00130774,0.00130774
5,4635.99,1.17135,0.78869,1.06824,0.77373,0.64959,0.73293,0.49151,1.04613,0.78344,1.12906,0.00126732,0.00126732,0.00126732
6,5648.4,1.15847,0.78907,1.06771,0.82246,0.70379,0.75852,0.50744,1.02673,0.71145,1.12846,0.0012269,0.0012269,0.0012269
7,6511.76,1.17287,0.74089,1.06467,0.85045,0.73676,0.80901,0.54163,1.03523,0.66618,1.12698,0.00118648,0.00118648,0.00118648
8,7366.95,1.13903,0.73229,1.06505,0.80979,0.71318,0.78829,0.53295,1.02778,0.68187,1.12056,0.00114606,0.00114606,0.00114606
9,8218.12,1.12598,0.70132,1.0402,0.84502,0.74464,0.82837,0.57785,0.95979,0.58888,1.08004,0.00110564,0.00110564,0.00110564
10,9066.47,1.11527,0.67307,1.04896,0.90861,0.7409,0.85961,0.57867,0.96184,0.57239,1.06977,0.00106522,0.00106522,0.00106522
11,9919.17,1.08642,0.64971,1.02412,0.78972,0.79478,0.83892,0.57553,0.95859,0.55726,1.06945,0.0010248,0.0010248,0.0010248
12,10811.2,1.08022,0.65328,1.01701,0.87117,0.78736,0.86381,0.58872,0.95802,0.54019,1.04589,0.000984377,0.000984377,0.000984377
13,11723.1,1.07986,0.63089,1.01293,0.90402,0.80042,0.88502,0.61229,0.98086,0.52663,1.07396,0.000943957,0.000943957,0.000943957
14,12635.6,1.07367,0.61659,1.01462,0.93613,0.80669,0.89141,0.62558,0.93043,0.50634,1.04131,0.000903536,0.000903536,0.000903536
15,13548.9,1.05351,0.59792,1.0105,0.90292,0.81376,0.88713,0.61457,0.94022,0.50434,1.03876,0.000863116,0.000863116,0.000863116
16,14462.5,1.02649,0.5799,0.9905,0.897,0.82917,0.90907,0.64655,0.9262,0.50578,1.03837,0.000822696,0.000822696,0.000822696
17,15370.1,1.03222,0.59353,1.01365,0.88368,0.83737,0.91443,0.6365,0.90999,0.47435,1.02873,0.000782275,0.000782275,0.000782275
18,16292.8,1.0244,0.56702,0.9969,0.91409,0.84765,0.92506,0.65814,0.88434,0.45843,1.01317,0.000741855,0.000741855,0.000741855
19,17251.1,1.01611,0.55159,0.97829,0.92704,0.85467,0.92489,0.65525,0.89386,0.46125,1.01157,0.000701435,0.000701435,0.000701435
20,18188,1.01004,0.55277,0.98954,0.95367,0.82749,0.92809,0.65875,0.88634,0.44784,1.01492,0.000661015,0.000661015,0.000661015
21,19082.2,0.99073,0.53461,0.98272,0.93615,0.86824,0.9479,0.67072,0.88096,0.43395,1.00426,0.000620594,0.000620594,0.000620594
22,19953.9,0.9901,0.52207,0.97837,0.92763,0.8695,0.94449,0.67991,0.86078,0.42666,0.98949,0.000580174,0.000580174,0.000580174
23,20824,0.9926,0.5178,0.97915,0.89804,0.89084,0.94589,0.69108,0.84278,0.41033,0.987,0.000539754,0.000539754,0.000539754
24,21736.5,0.95833,0.49788,0.97059,0.9529,0.87815,0.95168,0.68766,0.86129,0.41791,0.99148,0.000499333,0.000499333,0.000499333
25,22679,0.96676,0.50108,0.97395,0.95365,0.87756,0.95246,0.70607,0.81535,0.39846,0.97496,0.000458913,0.000458913,0.000458913
26,23617.1,0.97313,0.4788,0.98877,0.95629,0.86643,0.94865,0.69874,0.82253,0.40886,0.97467,0.000418493,0.000418493,0.000418493
27,24547.3,0.94423,0.46202,0.96791,0.93953,0.87986,0.95144,0.69827,0.81523,0.39776,0.96886,0.000378073,0.000378073,0.000378073
28,25507.2,0.94158,0.45384,0.96327,0.9264,0.90831,0.95835,0.71043,0.8211,0.38769,0.96429,0.000337652,0.000337652,0.000337652
29,26369.7,0.93715,0.45107,0.95385,0.9501,0.90719,0.96304,0.72348,0.80177,0.37954,0.96691,0.000297232,0.000297232,0.000297232
30,27225,0.90264,0.4318,0.95113,0.95129,0.90953,0.96631,0.72987,0.7829,0.36509,0.95122,0.000256812,0.000256812,0.000256812
31,28070.9,0.89158,0.42417,0.94807,0.97043,0.91184,0.97237,0.71581,0.78295,0.36778,0.94956,0.000216391,0.000216391,0.000216391
32,28933.1,0.89433,0.42345,0.94213,0.96395,0.91029,0.96912,0.72611,0.77761,0.35767,0.94422,0.000175971,0.000175971,0.000175971
33,29804,0.88227,0.40412,0.9439,0.96134,0.90494,0.96943,0.73571,0.74861,0.34801,0.93228,0.000135551,0.000135551,0.000135551
34,30666.1,0.88035,0.40755,0.94182,0.96341,0.91651,0.97442,0.73265,0.73714,0.34432,0.92916,9.51E-05,9.51E-05,9.51E-05
35,31519.9,0.86629,0.39508,0.92892,0.94358,0.93886,0.97518,0.74503,0.73517,0.33823,0.92759,5.47E-05,5.47E-05,5.47E-05
